Date,Type,residence,Positive,Negative
8/16/2020,Faculty/Staff,Non-Residential,0,3
8/16/2020,Students,Students - Non-Residential,1,34
8/16/2020,Students,Students - Residential,0,3
8/17/2020,Faculty/Staff,Non-Residential,0,56
8/17/2020,Students,Students - Non-Residential,5,97
8/17/2020,Students,Students - Residential,0,17
8/18/2020,Faculty/Staff,Non-Residential,4,63
8/18/2020,Students,Students - Non-Residential,6,74
8/18/2020,Students,Students - Residential,2,23
8/19/2020,Faculty/Staff,Non-Residential,3,40
8/19/2020,Students,Students - Non-Residential,6,79
8/19/2020,Students,Students - Residential,6,59
8/20/2020,Faculty/Staff,Non-Residential,0,27
8/20/2020,Students,Students - Non-Residential,11,165
8/20/2020,Students,Students - Residential,6,88
8/21/2020,Faculty/Staff,Non-Residential,0,30
8/21/2020,Students,Students - Non-Residential,4,94
8/21/2020,Students,Students - Residential,9,76
8/22/2020,Faculty/Staff,Non-Residential,0,3
8/22/2020,Students,Students - Non-Residential,5,42
8/22/2020,Students,Students - Residential,3,46
8/23/2020,Students,Students - Non-Residential,4,12
8/23/2020,Students,Students - Residential,2,51
8/24/2020,Faculty/Staff,Non-Residential,6,25
8/24/2020,Students,Students - Non-Residential,13,161
8/24/2020,Students,Students - Residential,3,161
8/25/2020,Faculty/Staff,Non-Residential,0,37
8/25/2020,Students,Students - Non-Residential,21,84
8/25/2020,Students,Students - Residential,7,134
8/26/2020,Faculty/Staff,Non-Residential,1,37
8/26/2020,Students,Students - Non-Residential,12,98
8/26/2020,Students,Students - Residential,3,98
8/27/2020,Faculty/Staff,Non-Residential,0,14
8/27/2020,Students,Students - Non-Residential,12,168
8/27/2020,Students,Students - Residential,3,74
8/28/2020,Faculty/Staff,Non-Residential,1,29
8/28/2020,Students,Students - Non-Residential,9,45
8/28/2020,Students,Students - Residential,2,53
8/29/2020,Faculty/Staff,Non-Residential,0,1
8/29/2020,Students,Students - Non-Residential,3,108
8/29/2020,Students,Students - Residential,3,53
8/30/2020,Faculty/Staff,Non-Residential,0,2
8/30/2020,Students,Students - Non-Residential,3,35
8/30/2020,Students,Students - Residential,1,13
8/31/2020,Faculty/Staff,Non-Residential,2,69
8/31/2020,Students,Students - Non-Residential,1,85
8/31/2020,Students,Students - Residential,1,61
9/1/2020,Faculty/Staff,Non-Residential,1,41
9/1/2020,Students,Students - Non-Residential,6,199
9/1/2020,Students,Students - Residential,4,191
9/2/2020,Faculty/Staff,Non-Residential,0,25
9/2/2020,Students,Students - Non-Residential,11,160
9/2/2020,Students,Students - Residential,4,173
9/3/2020,Faculty/Staff,Non-Residential,1,22
